word_id,english_word,meaning,part_of_speech,example_sentence
1,abandon,"그만두다; 버리다(abondonment 버림, 포기)",v. 동사,He decided to abandon his project due to a lack of funds.
2,ability,능력,n. 명사,She has the ability to speak three languages fluently.
3,abolish,"(제도, 법률등을)폐지하다",v. 동사,The government decided to abolish the outdated law.
4,absence,"부재; 결근, 결석",n. 명사,His long absence from work raised concerns among his colleagues.
5,absolute,"완전한, 완전무결한",adj. 형용사,Her decision was based on absolute confidence in her abilities.
6,absolutely,"절대적으로, 완전히",,
7,abstract,"추상적인, 막연한",,
8,accept,"수락하다, 승낙하다",,
9,acceptable,"용인되는, 받아들일 수 있는;
훌륭한, 만족스러운",,
10,access,"이용권한, 접근;통로, ~에 접근하다, 도달하다",,
11,accessible,출입할 수 있는; 이용할 수 있는,,
12,accidentally,"뜻하지 않게, 우연히",,
13,acclaim,"호평, 찬사",,
14,accommodate,"(건물 등이)~을 수용하다, 숙박시키다;(충분한 공간을) 제공하다
(조건, 요구 등을)만족시키다",,
15,accompany,"동행하다, 동반하다",,
16,accomplish,성취하다,,
17,accomplished,"숙련된, 노련한",,
18,accomplishment,"성과,업적",,
19,according to,~에 따라,,
20,account,계좌; 설명; 고려,,
21,accountable,책임이 있는,,
22,accounting,회계,,
23,accurate,정확한,,
24,accurately,정확하게,,
25,accustomed,익숙한,,
26,achieve,"달성하다, 성취하다",,
27,achievement,"성취, 달성",,
28,acknowledge,"인정하다; (편지 등의)수령을 알리다, 감사하다",,
29,acquaint,"~에게 숙지시키다, 잘 알게 하다",,
30,acquire,"매입하다, 취득하다
(inquire 묻다)
(inquiry 조사, 문의)",,
31,acquisition,인수; 구입한 것,,
32,act,"법령, 결의서; 행위, 행동, 결정하다, 판결을 내리다, 행동하다",,
33,active,"적극적인, 활발한",,
34,actually,"실제로, 사실은",,
35,additional,"추가의, 부가적인",,
36,address,"주소,
(어려운 문제 등을)처리하다,다루다",,
37,adequate,"충분한, 적절한
(adequately 적절히, 충분히)",,
38,adequately,적절히,,
39,adhere,"지키다, 고수하다",,
40,adjacent,인접한,,
41,adjourn,(회의 등을)휴회하다,,
42,adjust,적응하다,,
43,admission,입장,,
44,adopt,채택하다,,
45,advance,"진보, 전진",,
46,advanced,"고급의; 진보한, 앞선",,
47,advantage,"이점, 강점",,
48,adversity,"역경, 불운",,
49,advertisement,광고,,
50,advice,"조언, 충고",,
51,advisable,"바람직한, 합당한",,
52,advise,"조언해주다, 충고하다",,
53,advocate,옹호자,,
54,affect,"~에 영향을 미치다, 불리하게 작용하다",,
55,affix,(우표 등을)붙이다,,
56,affordability,감당할 수 있는 비용,,
57,affordable,"(가격이)알맞은, 감당할 수 있는",,
58,agency,"대행 회사, 대리점",,
59,agenda,"의제, 의사일정",,
60,aggressively,적극적으로,,
61,agree,동의하다,,
62,agreement,"계약, 협정; 합의",,
63,aid,"원조, 돕다",,
64,aim,"~을 겨누다, 목표, 목적",,
65,alleviate,완화하다,,
66,alliance,"동맹, 제휴",,
67,allocate,"할당하다, 배분하다
(allocation 할당)",,
68,allow,"~하게 하다, ~을 허락하다",,
69,alter,"(성질, 형상을)고치다, 바꾸다",,
70,alternative,"대안, 대체, 다른, 대신의",,
71,alternatively,"그렇지 않으면, 그 대신에",,
72,alumni,"동창생들, 졸업생들",,
73,amend,"수정하다
(amendable 개정할 수 있는)",,
74,amenity,편의 시설,,
75,amount,"액수, 양",,
76,analysis,분석,,
77,analyst,분석가,,
78,analyze,"분석하다, 분석적으로 검토하다",,
79,anniversary,기념일,,
80,announce,발표하다,,
81,announcement,"공고, 발표",,
82,annual,매년의,,
83,anonymous,"익명의, 이름을 모르는",,
84,anticipate,"예상하다, 기대하다
(anticipation 예상)",,
85,antique,골동품,,
86,apologize,사과하다,,
87,apparently,"보기에 ~한 듯한, 외관상으로는",,
88,appeal,"관심을 끌다, 매력적이다",,
89,appear,"나타나다, 출현하다",,
90,appearance,"외관, 외모",,
91,applaud,~에게 박수를 보내다; 칭찬하다,,
92,applicant,"지원자, 신청자",,
93,apply,적용하다; 지원하다,,
94,appoint,"임명하다, 지명하다",,
95,appraisal,평가,,
96,appreciate,고맙게 생각하다; 높이 평가하다; 감상하다,,
97,appreciation,감사,,
98,apprehensive,"걱정하는, 염려하는",,
99,approach,"접근법, 처리방법",,
100,appropriate,"적당한, 적합한(appropriately 적합하게)",,
101,appropriately,적절하게(appropriate 적합한),,
102,approval,"승인, 인가",,
103,approve,"승인하다, 찬성하다",,
104,approximately,대략,,
105,architect,건축가,,
106,area,"지역, 구역",,
107,argumentative,"논쟁적인, 논쟁을 좋아하는",,
108,arise,"(문제 등이)발생하다, 일어나다 = occur",,
109,arrange,"배열하다, 정돈하다",,
110,arrangement,"준비, 마련, 주선",,
111,arrive,도착하다,,
112,article,"물품, 물건; 기사, 논설",,
113,aspect,"관점, 국면",,
114,assemble,"(부품,기계 등을)조립하다;
(사람을)모으다",,
115,assent,"찬성하다, 승인, 동의
(approval 승인)
(approve 찬성하다)
(prove 증명하다)",,
116,assert,"단언하다, 주장하다 (assertion 단언, 주장)",,
117,asset,자산,,
118,assign,"배정하다, 할당하다",,
119,assignment,"일, 임무, 과제",,
120,assist,"돕다, 조력하다",,
121,associate,관련시키다,,
122,assume,"(증거는 없으나)사실이라고 생각하다;
(책임,역할을)맡다",,
123,assumption,"추정, 산정, 가정",,
124,assure,"~에게 보장하다, ~을 안심시키다, 장담하다",,
125,atmosphere,"분위기, 환경",,
126,attach,"붙이다, 접착하다, 첨부하다",,
127,attend,"참석하다, 출석하다",,
128,attendance,"출석, 출근",,
129,attention,"주의, 경청",,
130,attentive,"주의 깊은, 세심한",,
131,attentively,"주의 깊게, 조심스럽게",,
132,attire,"복장, 옷차림새",,
133,attitude,"태도, 마음가짐",,
134,attract,"끌다, 유인하다",,
135,attraction,관광 명소,,
136,attribute,(원인을)~의 덕분으로 돌리다,,
137,auction,경매,,
138,audience,"청중, 관중",,
139,audit,"회계 감사, 심사",,
140,authentic,"진정한, 진짜의, 진품의",,
141,author,"작가, 저자",,
142,authority,권한; 당국,,
143,authorize,"~을 인가하다, 권한을 부여하다.",,
144,automate,자동화하다,,
145,automotive,자동차의,,
146,availability,"(입수)가능성, 유효성, 유용성",,
147,available,"(사물이)이용 가능한;
(사람이) 시간이 있는",,
148,average,"평균치, 평균",,
149,award,"상
(reward 보상하다, 포상,보상)",,
150,aware,"알고 있는, 인식하고 있는",,
151,away,떨어져서,,
152,baggage,수화물,,
153,balance,"잔고, 차감 잔액",,
154,ban,"금지, 금지하다",,
155,banquet,"연회, 만찬",,
156,bargain,"특가품, 흥정",,
157,belongings,"소지품, 소유물",,
158,beneficial,"유익한, 이로운",,
